O2 Optode #578																					
Record Time	Record Number	Sensor Status	O2Concentration [uM]	Status	AirSaturation [%]	Status	Temperature [Deg.C]	Status	CalPhase [Deg]	Status	TCPhase [Deg]	Status	C1RPh [Deg]	Status	C2RPh [Deg]	Status	C1Amp [mV]	Status	C2Amp [mV]	Status	RawTemp [mV]	Status	
2020-08-12 09.52.19	93	(0) OK	2.508595E+02		7.901482E+01		1.462901E+01		3.357404E+01		3.357404E+01		4.071220E+01		7.138161E+00		7.763011E+02		7.538696E+02		3.022387E+02		
2020-08-12 09.53.19	94	(0) OK	2.472256E+02		7.790790E+01		1.465123E+01		3.373540E+01		3.373540E+01		4.086659E+01		7.131187E+00		7.803387E+02		7.539431E+02		3.015043E+02		
2020-08-12 09.54.19	95	(0) OK	2.438519E+02		7.686600E+01		1.466394E+01		3.389137E+01		3.389137E+01		4.102586E+01		7.134499E+00		7.854896E+02		7.539228E+02		3.010841E+02		
2020-08-12 09.55.19	96	(0) OK	2.411318E+02		7.598520E+01		1.464978E+01		3.402992E+01		3.402992E+01		4.116045E+01		7.130524E+00		7.901895E+02		7.539326E+02		3.015522E+02		
2020-08-12 09.56.19	97	(0) OK	2.402134E+02		7.568810E+01		1.464512E+01		3.407705E+01		3.407705E+01		4.121616E+01		7.139107E+00		7.913197E+02		7.537469E+02		3.017062E+02		
2020-08-12 09.57.19	98	(0) OK	2.408174E+02		7.587302E+01		1.464185E+01		3.404887E+01		3.404887E+01		4.118724E+01		7.138367E+00		7.906014E+02		7.537100E+02		3.018143E+02		
2020-08-12 09.58.19	99	(0) OK	2.400630E+02		7.568690E+01		1.467319E+01		3.407186E+01		3.407186E+01		4.121628E+01		7.144417E+00		7.916241E+02		7.537499E+02		3.007781E+02		
2020-08-12 09.59.19	100	(0) OK	2.378861E+02		7.500769E+01		1.467756E+01		3.417751E+01		3.417751E+01		4.131381E+01		7.136299E+00		7.947249E+02		7.538096E+02		3.006338E+02		
2020-08-12 10.00.19	101	(0) OK	2.382523E+02		7.510462E+01		1.466621E+01		3.416442E+01		3.416442E+01		4.129996E+01		7.135536E+00		7.942584E+02		7.536824E+02		3.010089E+02		
2020-08-12 10.01.19	102	(0) OK	2.376386E+02		7.494960E+01		1.468979E+01		3.418433E+01		3.418433E+01		4.132906E+01		7.144730E+00		7.946978E+02		7.536913E+02		3.002293E+02		
2020-08-12 10.02.19	103	(0) OK	2.362110E+02		7.450201E+01		1.469144E+01		3.425485E+01		3.425485E+01		4.139780E+01		7.142944E+00		7.970533E+02		7.535848E+02		3.001749E+02		
