TIMESTAMP (ISO-8601) UTC;airHumidity %;airPressure hPa;airTemperature C;conductivity1m mS/cm;currentDirection05m deg;currentDirection08m deg;currentDirection11m deg;currentDirection14m deg;currentDirection17m deg;currentDirection20m deg;currentDirection23m deg;currentDirection26m deg;currentDirection29m deg;currentDirection32m deg;currentDirection35m deg;currentDirection38m deg;currentDirection41m deg;currentDirection44m deg;currentDirection47m deg;currentDirection50m deg;currentDirection53m deg;currentDirection56m deg;currentDirection59m deg;currentDirection62m deg;currentSpeed05m cm/s;currentSpeed08m cm/s;currentSpeed11m cm/s;currentSpeed14m cm/s;currentSpeed17m cm/s;currentSpeed20m cm/s;currentSpeed23m cm/s;currentSpeed26m cm/s;currentSpeed29m cm/s;currentSpeed32m cm/s;currentSpeed35m cm/s;currentSpeed38m cm/s;currentSpeed41m cm/s;currentSpeed44m cm/s;currentSpeed47m cm/s;currentSpeed50m cm/s;currentSpeed53m cm/s;currentSpeed56m cm/s;currentSpeed59m cm/s;currentSpeed62m cm/s;salinity1m ppt;temperature1m degC;waterTempNortek degC;WindDir deg;WindGust m/s;WindSpeed m/s
2020-07-27T10:00:00Z;92.10938;1009.17969;13.68164;37.68311;191.60156;196.17188;197.57813;194.41406;133.59375;101.95313;120.58594;125.85938;131.83594;129.37500;144.49219;144.49219;234.49219;272.81250;197.92969;242.92969;251.71875;163.12500;228.16406;225.00000;28.41797;26.36719;17.57813;8.49609;2.92969;9.66797;7.91016;5.27344;9.66797;4.39453;4.68750;3.80859;11.71875;2.05078;5.56641;7.61719;0.87891;2.05078;2.63672;6.15234;31.60156;13.34717;13.31421;191.95313;5.62500;4.68750
2020-07-27T10:30:00Z;91.28906;1009.37500;13.68164;37.68311;195.46875;193.35938;196.87500;189.49219;94.57031;97.38281;115.66406;113.55469;99.84375;133.59375;207.77344;216.91406;155.39063;150.82031;48.86719;199.68750;227.81250;145.19531;143.08594;105.11719;26.66016;27.53906;22.85156;12.30469;4.98047;10.83984;10.25391;2.92969;8.20313;5.85938;4.68750;4.98047;12.30469;3.22266;1.17188;4.39453;1.46484;2.92969;2.05078;2.34375;31.60767;13.33618;13.32520;182.10938;6.03516;4.10156
2020-07-27T11:00:00Z;87.77344;1009.61914;14.22852;37.70142;180.70313;178.24219;164.17969;149.06250;102.30469;120.23438;106.87500;121.99219;136.75781;180.00000;233.78906;235.54688;177.18750;177.18750;159.25781;201.09375;137.10938;184.21875;191.25000;171.91406;26.95313;17.28516;10.54688;7.91016;9.08203;15.23438;14.06250;2.05078;8.78906;5.27344;2.34375;2.63672;13.47656;2.05078;4.68750;4.98047;2.05078;4.10156;2.63672;0.58594;31.61987;13.33618;13.32520;153.28125;3.45703;2.69531
2020-07-27T11:30:00Z;87.77344;1009.86328;14.22852;37.76550;174.02344;170.15625;142.03125;87.89063;170.50781;122.34375;104.76563;114.60938;125.50781;140.62500;165.23438;191.25000;253.47656;249.25781;75.93750;110.39063;108.98438;100.54688;37.96875;83.32031;24.31641;14.64844;4.10156;5.85938;4.98047;7.03125;10.83984;1.17188;10.54688;7.91016;3.22266;0.87891;9.96094;2.34375;0.29297;3.80859;4.68750;3.80859;1.17188;1.75781;31.63208;13.40210;13.33618;133.59375;4.16016;3.45703
2020-07-27T12:00:00Z;86.13281;1010.05859;14.77539;37.82043;101.60156;139.21875;112.85156;154.68750;172.61719;175.07813;112.50000;91.75781;97.03125;109.33594;211.99219;319.21875;305.50781;171.56250;107.92969;148.71094;147.30469;135.00000;149.41406;144.84375;7.91016;6.73828;7.61719;7.03125;11.71875;10.54688;11.13281;0.87891;12.30469;6.73828;3.80859;2.05078;12.59766;3.51563;2.92969;4.10156;7.32422;6.44531;7.32422;5.27344;31.68701;13.39111;13.33618;108.98438;3.51563;2.57813
2020-07-27T12:30:00Z;83.43750;1010.30273;14.98047;37.81128;161.71875;216.21094;129.37500;204.96094;184.21875;163.12500;80.85938;90.00000;98.08594;105.82031;168.75000;161.71875;344.53125;19.33594;32.69531;188.08594;174.02344;172.26563;169.10156;56.95313;2.34375;4.98047;2.34375;3.22266;8.20313;2.05078;10.83984;3.80859;12.59766;7.32422;1.46484;0.87891;13.76953;2.34375;2.92969;0.58594;5.85938;5.27344;2.05078;2.05078;31.64429;13.43506;13.34717;117.77344;2.46094;1.81641
2020-07-27T13:00:00Z;79.68750;1010.40039;15.52734;37.84790;235.89844;164.17969;96.67969;225.00000;225.00000;191.95313;79.10156;98.43750;94.92188;90.35156;98.78906;254.17969;98.78906;68.90625;255.23438;197.22656;165.93750;170.15625;110.39063;162.42188;4.10156;0.58594;5.27344;2.34375;7.91016;4.39453;3.80859;1.17188;12.89063;11.42578;6.73828;3.22266;9.66797;2.92969;1.46484;2.63672;5.27344;2.34375;3.80859;4.10156;31.65649;13.45703;13.41309;105.11719;3.63281;2.57813
2020-07-27T13:30:00Z;72.65625;1010.49805;16.21094;38.02185;180.00000;191.95313;85.07813;191.25000;229.57031;180.00000;90.00000;87.18750;72.07031;98.43750;136.75781;144.84375;249.25781;315.00000;219.72656;90.00000;174.02344;166.99219;248.20313;73.47656;1.75781;2.05078;3.51563;4.10156;3.51563;2.92969;4.68750;3.22266;9.08203;9.66797;4.39453;2.34375;8.49609;1.46484;0.87891;0.87891;4.68750;2.63672;1.17188;1.75781;31.68091;13.63281;13.46802;115.31250;3.51563;2.69531
2020-07-27T14:00:00Z;69.96094;1010.35156;17.09961;38.29651;104.06250;100.89844;81.56250;89.29688;41.83594;90.00000;76.64063;66.79688;43.94531;69.60938;83.67188;83.67188;70.66406;102.30469;61.52344;35.15625;132.89063;96.32813;24.60938;38.32031;8.49609;9.08203;15.82031;7.32422;1.46484;4.10156;8.20313;6.15234;6.73828;9.96094;12.89063;9.08203;6.73828;4.10156;4.10156;2.92969;4.10156;4.39453;1.46484;4.39453;31.69922;13.91846;13.68774;102.65625;2.81250;1.75781
2020-07-27T14:30:00Z;69.37500;1010.40039;16.89453;37.82043;73.82813;69.25781;73.47656;69.60938;104.41406;87.53906;84.72656;103.00781;118.12500;24.96094;72.77344;92.81250;81.56250;80.15625;102.30469;90.00000;109.33594;184.92188;58.71094;180.00000;13.76953;13.47656;14.35547;11.42578;3.51563;9.37500;8.49609;5.27344;3.51563;4.68750;9.96094;10.25391;9.66797;4.68750;6.15234;4.10156;2.34375;4.68750;4.39453;1.17188;31.55884;13.55591;13.87451;99.84375;4.04297;2.92969
2020-07-27T15:00:00Z;74.29688;1010.15625;16.41602;38.23242;68.55469;58.71094;65.03906;80.50781;72.07031;93.51563;92.46094;73.12500;63.63281;67.85156;79.10156;71.71875;72.07031;64.68750;85.42969;133.94531;183.16406;140.62500;18.28125;229.57031;17.87109;17.28516;19.04297;9.08203;3.22266;4.68750;4.68750;8.20313;7.91016;3.51563;7.32422;7.32422;7.32422;5.56641;4.98047;4.10156;3.51563;2.34375;2.34375;3.51563;31.67480;13.87451;13.91846;41.48438;2.46094;1.69922
2020-07-27T15:30:00Z;74.76563;1010.15625;16.48438;38.39722;49.21875;67.14844;69.60938;60.46875;90.00000;59.76563;340.31250;68.20313;65.39063;28.47656;48.86719;74.53125;69.25781;67.50000;137.10938;163.12500;153.28125;275.62500;313.24219;216.91406;20.80078;19.33594;19.92188;14.64844;6.44531;2.05078;1.46484;9.96094;2.92969;4.98047;7.32422;6.44531;8.20313;3.22266;2.05078;5.56641;0.58594;0.87891;2.05078;2.63672;31.68091;14.05029;13.87451;58.71094;2.57813;1.64063
2020-07-27T16:00:00Z;76.75781;1009.86328;16.27930;38.15918;53.43750;63.98438;57.30469;65.03906;35.15625;52.03125;74.17969;52.38281;28.82813;8.43750;43.94531;30.58594;45.00000;117.42188;138.16406;278.78906;311.83594;331.87500;351.21094;139.92188;22.85156;20.50781;21.97266;16.69922;7.91016;1.17188;2.05078;6.15234;4.68750;9.66797;10.25391;4.98047;4.39453;2.63672;3.80859;1.17188;2.63672;1.46484;2.63672;1.75781;31.56494;13.92944;14.07227;43.24219;3.86719;2.92969
2020-07-27T16:30:00Z;61.64063;1009.61914;17.57813;38.20496;62.22656;50.27344;53.78906;70.31250;39.72656;344.17969;90.00000;25.31250;21.79688;10.19531;300.23438;19.68750;123.75000;155.74219;212.69531;341.71875;125.85938;137.46094;119.88281;320.27344;20.80078;15.82031;19.62891;17.57813;9.08203;5.85938;1.46484;3.51563;7.61719;8.49609;1.46484;1.46484;4.39453;5.27344;5.85938;2.92969;2.63672;4.68750;1.75781;1.46484;31.61987;13.90747;13.90747;86.83594;5.56641;3.39844
2020-07-27T17:00:00Z;60.58594;1009.57031;17.64648;38.11340;56.25000;42.89063;72.42188;56.25000;30.58594;348.39844;344.53125;0.00000;332.22656;333.28125;298.82813;239.06250;177.89063;198.63281;203.55469;279.49219;37.96875;180.00000;177.53906;180.00000;15.82031;16.40625;15.82031;12.59766;4.98047;4.98047;4.39453;5.27344;8.20313;4.39453;3.51563;0.58594;5.27344;6.73828;4.10156;4.39453;3.51563;1.17188;2.34375;2.92969;31.60156;13.84155;13.87451;100.19531;6.15234;5.03906
2020-07-27T17:30:00Z;65.15625;1009.42383;17.37305;38.15918;35.15625;31.99219;48.51563;37.61719;43.94531;352.61719;305.15625;340.66406;352.61719;337.14844;339.96094;306.91406;292.14844;253.47656;246.79688;345.23438;346.28906;265.78125;348.75000;36.56250;13.76953;15.82031;16.99219;14.64844;4.10156;10.25391;7.32422;6.73828;8.49609;7.03125;8.49609;6.73828;7.03125;5.85938;2.92969;4.98047;4.68750;1.46484;4.10156;2.92969;31.63818;13.84155;13.84155;75.58594;4.86328;3.22266
2020-07-27T18:00:00Z;70.78125;1009.42383;16.89453;38.18665;112.85156;70.66406;62.57813;80.15625;69.25781;308.67188;26.71875;350.15625;326.95313;345.93750;292.50000;236.60156;357.53906;218.67188;324.14063;31.99219;146.25000;123.75000;52.03125;21.79688;6.15234;11.71875;19.04297;16.11328;5.85938;4.98047;7.91016;2.34375;6.73828;3.80859;3.80859;3.51563;8.20313;2.05078;2.63672;3.51563;2.63672;2.92969;3.51563;3.80859;31.66870;13.83057;13.81958;62.57813;4.62891;3.80859
